ts,matu,Spot,Fwd,PutOrCall,StrikePrice,ContractMultiplier,ExerciseStyle,bid,ask,sigma,Spread,price,delta,vega,gamma,theta,adjust,calib_ok,Timestamp_txt,Maturity
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4850,10,European,201.9,203.9,12.98767156,0.643293664,203.1117381,-0.942995457,0.99020851,0.000752023,-0.5473774,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4875,10,European,1.7,1.9,13.2781094,0.643293664,1.824940851,0.037352313,0.756429843,0.00052218,-0.397270493,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4875,10,European,226,228.1,13.2781094,0.643293664,227.2674735,-0.957821441,0.756429843,0.00052218,-0.397270493,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4900,10,European,1.2,1.4,13.63203374,0.643293664,1.304922351,0.027202017,0.582200221,0.000358332,-0.287343031,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4900,10,European,250.5,252.5,13.63203374,0.643293664,251.7035337,-0.967971737,0.582200221,0.000358332,-0.287343031,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4925,10,European,0.9,1.1,14.04846858,0.643293664,0.96607538,0.02030045,0.455188325,0.000247313,-0.210619667,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4925,10,European,275.1,277.1,14.04846858,0.643293664,276.3207653,-0.974873305,0.455188325,0.000247313,-0.210619667,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4950,10,European,0.6,0.9,14.50636614,0.643293664,0.736660797,0.015492924,0.361472932,0.000175563,-0.159420105,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4950,10,European,299.9,302,14.50636614,0.643293664,301.0474294,-0.979680831,0.361472932,0.000175563,-0.159420105,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4975,10,European,0.5,0.7,14.98510069,0.643293664,0.573962418,0.01203038,0.29060911,0.000127546,-0.123588548,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
